nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
alumnos inscritos en escuelas publicas en tlalpan,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 19:44:44.872775,2024-08-23 19:44:44.856845,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/76f6586b-a77d-4e23-b7d8-74fb92e6fc24/resource/f86b4d79-29a9-44e1-96c4-4a52e77e2286/download/historicodetalle-matricula-publicabasica-12.csv
asentamientos humanos en suelo de conservacion,superficie total del suelo de conservacion que cubren los asentamientos humanos irregulares.,descendente,hectareas,2023-10-17 19:05:17.880333,2023-12-01 22:54:38.262814,"derecho a la tierra, al territorio y a los recursos naturales",ciudades y comunidades sostenibles,pgd,anual,eficacia,ipdp,ipdp,https://ipdp.cdmx.gob.mx/storage/app/uploads/public/63a/482/80e/63a48280e36f7893549739.pdf,https://indicadores.cdmx.gob.mx/dataset/3b650716-ba1b-4b29-b46f-b9f9e4fe1c07/resource/43bb9a03-995a-4a71-8259-fedf82346615/download/historico-asentamientos-humanos-en-suelo-de-conservacion.csv
asentamientos humanos irregulares con riesgo por deslizamiento de ladera alto y muy alto,porcentaje de poligonos (lotes) en la zona prioritaria de riesgos por deslizamiento de laderas y suelo de conservacion.,descendiente,porcentaje,2023-10-17 19:07:04.341873,2023-10-17 19:07:04.314226,derecho a la seguridad urbana y a la proteccion civil,ciudades y comunidades sostenibles,pgot,irregular,eficacia,"sgirpc; , corena",sgirpc y corena,no disponible,https://indicadores.cdmx.gob.mx/dataset/708f287d-300a-4e65-9c17-474dc1629e53/resource/052c2267-c4ef-4732-8ddc-6192b0f238ed/download/historico-porcentaje-de-los-asentamientos-humanos-irregulares-con-riesgo-por-deslizamiento-de-l.csv
atencion a personas privadas de su libertad en programas de capacitacion y actividades productivas,total de personas atendidas por los programas: apoyo para el impulso laboral a personas egresadas del sistema de justicia penal; kioscos de servicios en el centro de ejecucion de sanciones penales varonil norte; modelo integral de atencion del instituto de reinsercion social; atencion prioritaria a personas egresadas del sistema de justicia penal; y programas de capacitacion y actividades productivas.,ascendente,numero,2023-10-17 19:06:38.118883,2024-09-02 19:16:28.596386,derecho a una vida libre de todo tipo de violencia o discriminacion,"paz, justicia e instituciones solidas",pgd,anual,eficacia,gob cdmx,sexto informe de gobierno cdmx,https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/8d04a8e3-17b0-4902-ad2f-7c0700ac2271/resource/a1dbad1b-17cb-446f-98ba-1f866d259212/download/historico-atencion-a-personas-privadas-de-su-libertad-en-programas-de-capacitacion-y-actividade.csv
numero de atenciones de apoyo institucional a personas migrantes,total de atenciones de apoyo institucional que se han brindado a personas migrantes.,ascendente,numero,2023-10-17 19:06:25.444685,2024-09-02 23:12:02.087459,derechos de las personas migrantes y sujetas de proteccion internacional,reduccion de las desigualdades,pgd,anual,eficacia,gob cdmx,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/4e8f2ef6-2674-47e7-b291-20a04a32ed08/resource/049113fa-a34f-436e-9ef8-b20337cd4cf3/download/historico-numero-de-atenciones-de-apoyo-institucional-a-personas-migrantes.csv
numero de atenciones de proteccion y dignidad a casos de violencia a personas mayores,"total de atenciones de proteccion y dignidad, brindadas por sibiso, a casos de violencia a personas mayores.",ascendente,numero,2023-10-17 19:06:08.265362,2024-09-02 23:18:04.812246,derechos de personas mayores,reduccion de las desigualdades,pgd,anual,eficacia,gob cdmx,sexto informe de gobierno cdmx,https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/b5b808d5-02e3-41f0-8fba-bace476d19e8/resource/a7db2a32-7a73-4e3b-9d5b-b6dc30100532/download/historico-numero-de-atenciones-de-proteccion-y-dignidad-a-casos-de-violencia-a-personas-mayores.csv
ayudas de beneficio social para sustentabilidad,total de ayudas de beneficio social para esquemas de sustentabilidad otorgados por medio del programa mejoramiento de vivienda.,ascendente,numero,2023-10-17 19:07:26.084152,2024-09-02 19:28:21.027969,derecho al desarrollo sustentable,ciudades y comunidades sostenibles,pgd,anual,eficacia,gob cdmx,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/859faece-b461-438d-893b-e4464d726f3e/resource/cc219457-02a5-4fba-8264-4a8174198994/download/historico-ayudas-de-beneficio-social-para-esquemas-de-sustentabilidad.csv
beneficiarios del programa altepetl bienestar,total de personas que resultaron beneficiadas por el programa altepetl bienestar.,estacionaria,numero,2023-10-17 19:06:01.651533,2024-05-16 18:14:18.986595,"derecho a la tierra, al territorio y a los recursos naturales",produccion y consumo responsables,pgot,anual,eficacia,sedema,sedema,https://www.sedema.cdmx.gob.mx/programas/programa/altepetl,https://indicadores.cdmx.gob.mx/dataset/e505fc1c-9436-4ec0-a2f2-81389ddb27a8/resource/1d4a4d0a-3ccd-4b98-982d-ae1ede666a45/download/historico-beneficiarios-del-programa-altepetl-bienestar-.csv
beneficiarios del programa cosecha de agua de lluvia,total de personas beneficiarias del programa cosecha de agua de lluvia.,ascendente,numero,2023-10-17 19:05:37.160013,2024-06-24 18:18:05.205598,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgd,anual,eficacia,sedema,"sedema, padron de beneficiarios del programa cosecha de agua",https://www.sedema.cdmx.gob.mx/programas/programa/cosecha-de-lluvia,https://indicadores.cdmx.gob.mx/dataset/8b5a9f92-45ba-4551-be3c-f94cbbfb1bde/resource/3f47dc5c-3c8c-468d-8cd6-52c35ebca3d8/download/historico-beneficiarios-del-programa-cosecha-de-agua-de-lluvia.csv
beneficiarios del programa de servicios medicos y medicamentos gratuitos,total de personas beneficiarias del programa de servicios medicos y medicamentos gratuitos de la sedesa.,ascendente,numero,2023-10-17 19:06:59.645121,2024-09-02 19:42:15.983384,derecho a la salud,salud y bienestar,pgd,anual,eficacia,gob cdmx,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/9039080d-0fd7-4d54-ada2-ae76c2008b40/resource/783f9475-573a-41dd-96c6-215076fdaac5/download/historico-beneficiarios-del-programa-de-servicios-medicos-y-medicamentos-gratuitos.csv
numero de biciescuelas nuevas,aumentar el numero de biciescuelas con el objetivo de compartir una infraestructura ciclista segura.,ascendente,numero,2023-10-17 19:07:27.874055,2023-10-17 19:07:27.845469,derecho a la movilidad,ciudades y comunidades sostenibles,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/215a2ddd-e7d3-42fb-91a9-c3fdb79d3659/resource/25cb789a-b189-426f-a16a-58a3c15e6f56/download/historico-numero-de-biciescuelas-nuevas.csv
calidad de agua tratada,"calcula el porcentaje de plantas de tratamiento de aguas residuales, en las cuales al menos 80% de los parametros de calidad monitoreados por el sacmex, se mantuvieron dentro de los estandares normativos",ascendente,porcentaje,2023-10-17 19:05:37.465406,2023-10-17 19:05:37.437942,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,pgirh,no disponible,https://indicadores.cdmx.gob.mx/dataset/f17fb0da-7ea1-4eaa-9134-2f16e681a5fa/resource/4685dd40-52a4-4059-8e05-7101b53a529e/download/historico-calidad-de-agua-de-agua-tratada.csv
calificacion de los servicios publicos basicos,"promedio de las calificaciones en los siguientes servicios: agua potable, drenaje y alcantarillado, alumbrado publico, parques y jardines publicos, recoleccion de basura, policia, calles y avenidas, carreteras y caminos sin cuota.",ascendente,escala (1-10),2023-10-17 19:05:25.058677,2024-04-10 18:59:56.171149,derecho a la buena administracion publica,"paz, justicia e instituciones solidas",pgd,bienal,calidad,inegi,"inegi, encuesta nacional de calidad e impacto gubernamental (encig)",https://www.inegi.org.mx/programas/encig/2023/,https://indicadores.cdmx.gob.mx/dataset/47b37897-4877-4fcb-8efb-5d537414a38e/resource/ad33aa4d-3478-4280-b0dc-55865057a03e/download/historico-calificacion-de-los-servicios-publicos-basicos.csv
calificacion de los tramites,promedio de calificacion de tramites realizados por personas de 18 años y mas.,ascendente,escala (1-10),2023-10-17 19:06:21.153283,2024-04-10 20:24:55.146026,derecho a la buena administracion publica,"paz, justicia e instituciones solidas",pgd,bienal,calidad,inegi,"inegi, encuesta nacional de calidad e impacto gubernamental (encig)",https://www.inegi.org.mx/programas/encig/2023/,https://indicadores.cdmx.gob.mx/dataset/35519d88-806a-4a48-a63a-5d433dcb9066/resource/ce6ecac9-d3f7-4044-b9d1-5168a7fb32a6/download/historico-calificacion-de-los-tramites.csv
capacitacion al personal de salud para la prevencion y atencion integral de la violencia contra las mujeres,total del personal de la  salud capacitado en temas de prevencion y atencion integral de la violencia contra las mujeres.,ascendente,numero,2023-10-17 19:05:34.055019,2024-09-02 22:19:43.222614,derecho a la salud,salud y bienestar,pgd,anual,eficacia,gob cdmx,sexto informe de gobierno cdmx,https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/f403a96f-b438-43b9-a4d1-905dc5f54da3/resource/22bf6f31-9827-4df6-86fe-9cb36497c046/download/historico-capacitacion-al-personal-de-salud-para-la-prevencion-y-atencion-integral-de-la-violen.csv
capacitacion a personas servidoras publicas en materia de igualdad sustantiva y derechos humanos,total de personas servidoras publicas capacitadas en materia de igualdad sustantiva y derechos humanos.,ascendente,numero,2023-10-17 19:05:29.008905,2024-09-02 20:06:24.922696,derecho a la buena administracion publica,"paz, justicia e instituciones solidas",pgd,anual,eficacia,gob cdmx,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/0fe365b9-215a-4cab-a455-39ad7b191e43/resource/a690016c-6a52-4e46-a721-77fc0ca4589f/download/historico-capacitacion-a-personas-servidoras-publicas-en-materia-de-igualdad-sustantiva-y-derec.csv
certificacion en buenas practicas agricolas,porcentaje de unidades de produccion con agricultura a cielo abierto con certificacion en buenas practicas agricolas.,ascendente,porcentaje,2023-10-17 19:06:03.153112,2023-10-17 19:06:03.126833,"derecho a la tierra, al territorio y a los recursos naturales",ciudades y comunidades sostenibles,pgot,no determinada,eficacia,inegi,"inegi, encuesta nacional agropecuaria",https://www.inegi.org.mx/programas/ena/2019,https://indicadores.cdmx.gob.mx/dataset/829c3b70-df3f-47ac-ae30-2f9abd601a94/resource/510edc89-f635-4971-878e-745c72797293/download/historico-certificacion-en-buenas-practicas-agricolas.csv
cifra negra de delitos,cifra negra: delitos no denunciados; delitos denunciados sin carpeta de investigacion; y delitos en los cuales no fue especificado si se denuncio o si se inicio una carpeta de investigacion. todo esto calculado respecto del total de delitos.,descendente,porcentaje,2023-10-17 19:06:58.637907,2025-02-12 18:24:55.593368,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",pgd,anual,eficacia,inegi,"inegi, encuesta nacional de victimizacion y percepcion sobre seguridad publica (envipe)",https://www.inegi.org.mx/programas/envipe/2023/,https://indicadores.cdmx.gob.mx/dataset/9ce20bb2-fc8d-4772-a95b-bde0fa0086f5/resource/71c27923-05e0-46a1-bb6d-b4cf46c64146/download/historico-cifra-negra-de-delitos.csv
cobertura de agua potable de la red publica en la cdmx,porcentaje de la poblacion de la cdmx que cuentan con servicio de agua potable a traves de la red (dentro de la vivienda o fuera de esta pero dentro del terreno).,ascendente,porcentaje,2023-10-17 19:07:04.649523,2023-10-17 19:07:04.623969,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,pgirh,no disponible,https://indicadores.cdmx.gob.mx/dataset/ca75ed01-1435-4759-aa60-0bdacf7462d3/resource/70107757-7f84-4988-a81c-100d0183d14f/download/historico-cobertura-de-agua-potable-de-la-red-publica-en-la-cdmx.csv
cobertura de tratamiento de aguas residuales,"proporcion de las aguas residuales que reciben tratamiento, respecto al total de aguas residuales que se generan en la cdmx",ascendente,porcentaje,2023-10-17 19:05:38.373617,2023-10-17 19:05:38.345429,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,pgirh,no disponible,https://indicadores.cdmx.gob.mx/dataset/70a60431-b81d-435e-8b44-cf0731b8c5bc/resource/fc2d28f0-5ef3-4745-afad-146e8678f7a9/download/historico-cobertura-de-tratamiento-de-aguas-residuales.csv
coeficiente de inventiva de la ciudad de mexico,,ascendente,proporcion,2023-10-17 19:06:04.684751,2023-10-17 19:06:04.656341,derecho a la ciencia y a la innovacion tecnologica,"industria, innovacion e infraestructura",pdcti,no determinada,eficacia,conapo,conapo,https://www.gob.mx/conapo,https://indicadores.cdmx.gob.mx/dataset/a0aa0a55-381f-4d9b-9244-b4590aff84d3/resource/4c4310fb-2426-4fd4-8850-e0b773517049/download/historico-coeficiente-de-inventiva-de-la-ciudad-de-mexico.csv
comercio internacional neto de alvaro obregon,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:29.168040,2024-07-30 23:32:32.353889,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/alvaro-obregon#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/a2567e8c-689b-47f7-8296-91152c5e4761/resource/15cf9aaa-398d-41ec-8579-2e6c660edf97/download/historico-comercio-internacional-neto-alvaro-obregon.csv
comercio internacional neto de azcapotzalco,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:59:45.233023,2024-07-30 23:32:31.774713,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/azcapotzalco#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/e5651109-60ee-4dac-85c5-a04925708e01/resource/b2633e21-70c2-401b-ab69-ec4271817bd2/download/historico-comercio-internacional-neto-azcapotzalco.csv
comercio internacional neto de benito juarez,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:19.159209,2024-08-01 20:16:42.507607,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/benito-juarez#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/dddff312-0090-41e5-b2dd-551e7fc1973f/resource/53f89f8a-47fd-4900-8288-83bb9533d724/download/historico-comercio-internacional-neto-benito-juarez.csv
